code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GEOL 422,"  Physics of the Earth's Interior",3,"
 Origin of the solar system: the nebular hypothesis. Evolution of the earth and its accretionary history. Earthquakes: plate tectonics and the interior of the earth. The earth's magnetic field. Mantle convection.","Prerequisites, MATH 383, and either PHYS 201 and 211 or 311 and 401.",,,"Letter gradeSame as: PHYS 422.
"
GEOL 425,"  Introduction to Field Geology",3,"
 Introduction to geologic field methods. Includes making observations, mapping, identification of structures and features, and interpretation to solve basic geologic problems. Many field trips. Previously offered as GEOL 225.","Prerequisites, GEOL 302, 303, and 304; permission of the instructor for students lacking the prerequisites.","EE- Field Work.",,"Letter grade.
"
GEOL 432,"  Paleoclimatology",3,"
 Introduction to mechanisms that drive climate. Examination of past climate reconstructions using ecological and geochemical proxies. Utility of computer models to reconstruct past climates and predict future climate change. Emphasis placed on late Quaternary.","Prerequisite, GEOL 202 or 303; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
GEOL 433,"  Paleoceanography",3,"
 Origin and distribution of pelagic sediments. Review of the major Mesozoic and Cenozoic events in the world oceans. Glacial/interglacial changes in the ocean/atmosphere system.","Prerequisite, GEOL 303 or 503; permission of the instructor for students lacking the prerequisite.",,,"Letter grade.
"
GEOL 435,"  Groundwater",3,"
 Required preparation, one introductory geology course. Introduction to physics, chemistry, and geology of groundwater. Previously offered as GEOL 509.","Prerequisites, CHEM 102; MATH 231; PHYS 104 or 114 or 116; permission of the instructor for students lacking the prerequisites.","QI.",,"Letter grade.
"
GEOL 436,"  Geochemistry of Natural Waters",3,"
 Required preparation, one introductory geology course. Survey of processes affecting the compositions of streams, lakes, the ocean, and shallow ground waters. Previously offered as GEOL 510.","Prerequisites, CHEM 102 and MATH 231; permission of the instructor for students lacking the prerequisites.","QI.",,"Letter grade.
"
GEOL 440,"  Principles of Seismology",3,"
 Descriptive account of global seismology, earthquake distribution, and focal mechanics. Principles of geometrical optics and applications to imaging the earth's interior. Principles of seismic prospecting of hydrocarbon and geothermal reservoirs.","Prerequisites, GEOL 200, 302; MATH 231; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
GEOL 450,"  Biogeochemical Processes",4,"
 Principles of chemistry, biology, and geology are applied to analysis of the fate and transport of materials in environmental systems, with an emphasis on those materials that form the most significant cycles. Three lecture hours and one laboratory hour a week.","Prerequisites, MATH 231, and PHYS 114 or 118; permission of the instructor for students lacking the prerequisites.","PL.",,"Letter gradeSame as: ENEC 450, MASC 450.
"
GEOL 460,"  Fluid Dynamics of the Environment",3,"
 Principles and applications of fluid dynamics to flows of air and water in the natural environment. Conservation of momentum, mass, and energy applied to lakes, rivers, estuaries, and the coastal ocean. Dimensional analysis and scaling emphasized to promote problem-solving skills.","Prerequisite, MATH 232; permission of the instructor for students lacking the prerequisite.","QI.",,"Letter grade.
"
GEOL 480,"  Modeling of Marine and Earth Systems",13,"
 Mathematical modeling of dynamic systems, linear and nonlinear. The fundamental budget equation. Case studies in modeling transport, biogeochemical processes, population dynamics. Analytical and numerical techniques; chaos theory; fractal geometry.","Prerequisite, MATH 232; permission of the instructor for students lacking the prerequisite.",,,"Letter gradeSame as: MASC 480, ENVR 480.
"
GEOL 483,"  Geologic and Oceanographic Applications of Geographical Information Systems",4,"
Required preparation, four GEOL courses or permission of the instructor. Focus is on applying GIS concepts and techniques to mining and petroleum geology, resource assessment, hydrogeology, coastal and marine geology, physical oceanography, engineering geology, and a geologic perspective on land use. Three lecture and two laboratory hours a week.",,,,"Letter gradeSame as: MASC 483.
"
GEOL 485,"  Summer Field Course in Geology",3,"
 Three-week field camp conducted in the western United States (Arizona, California, Colorado, Nevada, New Mexico, and/or Utah). Learn proper use of geology field tools and how to make a geologic map. Field interpretation of rocks and their deformation. Previously offered as GEOL 601.","Prerequisites, GEOL 302, 303, and 304; permission of the instructor for students lacking the prerequisites.","EE- Field Work.",,"Letter grade.
"
GEOL 486,"  Summer Field Course in Geology",3,"
 Three-week field camp conducted in the western United States (Arizona, California, Colorado, Nevada, New Mexico, and/or Utah). Learn advanced mapping skills necessary to interpret geologic history of complexly deformed rocks. Previously offered as GEOL 602.","Prerequisites, GEOL 302, 303, and 304; permission of the instructor for students lacking the prerequisites.","EE- Field Work.",,"Letter grade.
"
GEOL 490,"  Topics in Earth and Environmental Sciences",3,"
Key topics and resources for high school teachers preparing to teach earth and environmental sciences. Includes lithosphere, tectonic processes, hydrosphere, atmosphere, origin of solar system and life, and environmental stewardship.",,,,"Letter grade.
"
GEOL 501,"  Geological Research Techniques",3,"
Permission of the instructor. Theory and practice of analytical methods in geochemistry including X-ray diffraction, X-ray fluorescence, and scanning electron microscopy; introduction to electronics.",,,,"Letter grade.
"
GEOL 502,"  Earth Surface Processes",3,"
 This course will focus on the processes of soil formation, erosion, and landform evolution with an emphasis on the interaction of geomorphic processes with surface hydrology and ecosystems. (EES)","Prerequisite, GEOG 110.","PL.",,"Letter gradeSame as: GEOG 440.
"
GEOL 503,"  Marine Geology",4,"
For graduate students; undergraduates need permission of the instructor. Investigates formation of the oceans, plate tectonics, carbonate reefs and platforms, sediment transport from the land to deep-sea fans, glacial-marine geology, marine records of changes in sea level and climate, and the evolution of barrier islands, estuaries, and deltas. Mandatory weekend field trip to the Southern Outer Banks.",,"PL.",,"Letter gradeSame as: MASC 503.
"
GEOL 504,"  Advanced Petrology",3,"
 Origin of magmas and evolution of igneous and metamorphic rocks, combined with petrographic study of selected sites.","Prerequisite, GEOL 304.",,,"Letter grade.
"
GEOL 505,"  Chemical Oceanography",4,"
Graduate students only; undergraduates must have permission of the instructor. Overview of chemical processes in the ocean. Topics include physical chemistry of seawater, major element cycles, hydrothermal vents, geochemical tracers, air-sea gas exchange, particle transport, sedimentary processes, and marine organic geochemistry. Three lecture and two recitation hours per week.",,"PL.",,"Letter gradeSame as: MASC 505, ENVR 505.
"
GEOL 506,"  Physical Oceanography",4,"
For graduate students; undergraduates need permission of the instructor. Descriptive oceanography, large-scale wind-driven and thermohaline circulations, ocean dynamics, regional and nearshore/estuarine physical processes, waves, tides. Three lecture and one recitation hour per week.",,"PL.",,"Letter gradeSame as: MASC 506.
"
GEOL 508,"  Global Hydrology",3,"
 An introduction to methodologies and instrumentation for quantifying the movement of water in the earth system focusing on components of the hydrologic cycle.","Prerequisites, GEOL/ENEC 324 and MATH 231; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
GEOL 511,"  Stable Isotopes in the Environment",3,"
 Introduction to the theory, methods, and applications of stable isotopes to environmental problems. Primary focus will be on the origin, natural abundance, and fractionation of carbon, hydrogen, oxygen, and nitrogen isotopes.","Prerequisite, CHEM 102.",,,"Letter gradeSame as: ENEC 511.
"
GEOL 514,"  River Systems of East Coast North America",3,"
 Required preparation, one introductory geology course. Junior or senior status. Analysis of 23 rivers from St. Lawrence to the Everglades, from headwaters to oceanic terminus of turbidite fan. Focus on stream processes, geologic development, hydrology, utilization history, ecology, and planning.","Prerequisite, GEOL 417.",,,"Letter grade.
"
GEOL 517,"  Sequence and Seismic Stratigraphy",3,"
 Examination of lithostratigraphic principles and the sequence stratigraphic paradigm. Students will study use of variation of well log signature reflection attributes and reflection termination patterns to identify and correlate sequences and systems and to interpret the lithology and depositional history of subsurface stratigraphic units.","Prerequisite, GEOL 303.",,,"Letter grade.
"
