code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
DTCH 275,"  Rising Fortunes and Rising Tides: The Dutch Golden Age and its Legacy",3,"
This study abroad course provides students with in-depth exposure to the history and culture of the Netherlands in the 17th century through the lens of its chief city, Amsterdam. Conducted in English. No knowledge of Dutch is required.",,"EE- Service Learning, NA, WB.",,"Letter grade.
"
DTCH 396,"  Independent Readings in Dutch",3,"
Permission of the instructor. Special readings and research in a selected field or topic under the direction of a faculty member.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
DTCH 402,"  Elementary Dutch",3,"
The first course in the Dutch language sequence, DTCH 402 is a rapid introduction to modern Dutch with emphasis on all fundamental components of communication. Completion of DTCH 402 fulfills level 2 of a foreign language.",,"FL.",,"Letter grade.
"
DTCH 403,"  Intermediate Dutch",3,"
 The second course in the Dutch language sequence, DTCH 403 focuses on increased skills in speaking, listening, reading, global comprehension, and communication. Emphasis on reading and discussion of longer texts. Completion of DTCH 403 fulfills level 3 of a foreign language.","Prerequisite, DTCH 402; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
DTCH 404,"  Advanced Intermediate Dutch",3,"
 This third Dutch course completes the language sequence. DTCH 404 aims to increase proficiency in language skills (reading, speaking, writing) and is constructed around a series of themes meant to introduce students to Dutch society, culture, and history. Completion of DTCH 404 fulfills level 4 of a foreign language.","Prerequisite, DTCH 403; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
DTCH 405,"  Topics in Dutch Culture: A Literary Survey",3,"
 Ability to read and speak Dutch at intermediate to advanced level recommended. Introduction to Dutch literature from Middle Ages to the present. Survey of topics in Dutch culture.","Prerequisite, DTCH 404; permission of the instructor for students lacking the prerequisite.","LA, NA.",,"Letter grade.
"
DTCH 896,"  Independent Readings in Dutch",19,"
Special readings and research in a selected field or topic under the direction of a faculty member.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
