code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
BCS 401,"  Elementary Bosnian-Croatian-Serbian Language I",3,"
Proficiency-based instruction at the elementary level that develops the four language skills (speaking, listening, reading, writing). In addition to mastering basic vocabulary and grammar, students will communicate in the target language about everyday topics. Previously offered as SECR 401.",,"FL.",,"Letter grade.
"
BCS 402,"  Elementary Bosnian-Croatian-Serbian Language II",3,"
 Continuation of the proficiency-based instruction in BCS 401. Course emphasizes speaking, listening, reading, writing in a cultural context. Students enhance their basic vocabulary and grammar and will regularly communicate in the target language about everyday topics. Previously offered as SECR 402.","Prerequisite, BCS 401; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
BCS 403,"  Intermediate Bosnian-Croatian-Serbian Language I",3,"
 Continuation of the proficiency-based instruction started in Elementary Bosnian-Croatian-Serbian. Previously offered as SECR 403.","Prerequisite, BCS 402; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
BCS 404,"  Intermediate Bosnian-Croatian-Serbian Language II",3,"
 Continuation of the proficiency-based instruction started in BCS 403. Previously offered as SECR 404.","Prerequisite, BCS 403; permission of the instructor for students lacking the prerequisite.","FL.",,"Letter grade.
"
BCS 405,"  Advanced Bosnian-Croatian-Serbian Language I",3,"
 Advanced readings and discussion in Bosnian-Croatian-Serbian on humanities and social science topics. Previously offered as SECR 405.","Prerequisite, BCS 404; permission of the instructor for students lacking the prerequisite.","BN.",,"Letter grade.
"
BCS 406,"  Advanced Bosnian-Croatian-Serbian Language II",3,"
 Advanced readings and discussion in Bosnian-Croatian-Serbian on humanities and social science topics. Continuation of BCS 405. Previously offered as SECR 406.","Prerequisite, BCS 405; permission of the instructor for students lacking the prerequisite.","BN.",,"Letter grade.
"
BCS 411,"  Introduction to South Slavic Literatures and Cultures",3,"
Introduction to South Slavic literatures and cultures with an emphasis on 19th- through 21st-century prose. Taught in English. Some readings in target language for qualified students. Previously offered as SECR 411.",,"LA, BN.",,"Letter grade.
"
BCS 490,"  Topics in South Slavic Cultures",3,"
Study of topics in Bosnian, Croatian, Serbian, and other South Slavic literatures and cultures not currently covered in any other course. The specific topic will be announced in advance. Taught in English. Some readings in target language for qualified students. Previously offered as SECR 490.",,,"May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions.","Letter grade.
"
