code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
BBSP 705,"  Best Practices for Rigor and Reproducibility in Research",1,"
A workshop to introduce best practices for increasing rigor and reproducibility in research. Permission of course directors required.",,,,"Letter gradeSame as: BIOL 705.
"
BBSP 710,"  Biostatistics for Laboratory Scientists",2,"
This course introduces the basic concepts and methods of statistics with emphasis on applications in the experimental biological sciences. Students should have a basic understanding of algebra and arithmetic. No previous background in probability, statistics, or statistical computing is required. Students are required to have GraphPad Prism installed on their laptops and activated before the course begins. You can download GraphPad Prism from UNC software acquisition (software.unc.edu; license required).",,,,"Letter grade.
"
BBSP 890,"  Special Topics in the Biological and Biomedical Sciences Program",13,"
Permission of the instructor. Seminar/Discussion course dealing with advanced topics in the biological and biomedical sciences.",,,"May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.","Letter grade.
"
BBSP 901,"  Research in Biological and Biomedical Sciences",0,"
Enrollment in BBSP program required. Lab rotations with BBSP faculty.",,,"May be repeated for credit; may be repeated in the same term for different topics.","Letter grade.
"
BBSP 902,"  Seminar in Biological and Biomedical Sciences",0,"
Enrollment in BBSP program required. First Year Group course of small interest-based groups led by faculty advisors. Includes professional skills development in a research community.",,,"May be repeated for credit. ","Letter grade.
"
BBSP 903B,"  Research in Biological and Biomedical Sciences - Part II",1,"
Enrollment in BBSP program required. Lab rotations with BBSP faculty. This lab rotation is Part II of a two part lab rotation which spans fall and spring semesters.",,,,"Letter grade.
"
BBSP 903A,"  Research in Biological and Biomedical Sciences - Part l",1,"
Enrollment in BBSP program required. Lab rotations with BBSP faculty. This lab rotation is Part I of a two part lab rotation which spans fall and spring semesters.",,,,"Letter grade.
"
