code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GOVT 660,"  Municipal Administration",4,"
This course covers municipal government organization and management, finance, personnel, planning and economic development, and the administration of specific municipal functions.",,,,"Letter grade.
"
GOVT 661,"  County Administration",4,"
This course covers county government organization and management, finance, personnel, planning, and economic development, and the administration of specific municipal functions.",,,,"Letter grade.
"
GOVT 662,"  Information Technology Project Management and Leadership",3,"
Examines the public sector environment as it relates to information technology development. Special attention focused on the complex environment and its influence on information technology-based solutions.",,,,"Letter grade.
"
GOVT 663,"  Public Executive Leadership Academy",6,"
The Public Executive Leadership Academy is designed for North Carolina city and county managers to understand themselves as leaders and to prepare the organization to work with others in improving the quality of life within the community.",,,,"Letter grade.
"
GOVT 664,"  Chief Information Office Certification Program",5,"
The CIO Certification Program is designed for chief information officers of local governments in North Carolina. The course lays the foundation for addressing the most critical issues facing IT leadership in local government and equips leaders with tools to manage and improve their organizational assets.",,,,"Letter grade.
"
GOVT 772,"  Local Government in North Carolina",3,"
The purpose of this course is to familiarize students with the purpose, structure, and function of local governments in North Carolina. At the course's conclusion, students should be able to identify and discuss the operation and governance structure of North Carolina counties and municipalities. Moreover, students should develop a reasonably comprehensive framework to analyze and understand the legal, cultural, and political environments of the various regions throughout the state. Lead for North Carolina Participants Only.",,,,"Letter grade.
"
