code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
CATA 401,"  Elementary Catalan",3,"
Introduction to Catalan language and culture.  Designed for students who already have proficiency in another foreign language.",,,,"Letter grade.
"
CATA 402,"  Intermediate Catalan",3,"
Continuation of Catalan 401 with more emphasis on reading authentic texts.",,,,"Letter grade.
"
